atom_id,label,lift,local_freq,global_freq,n_with_report,top3_by_lift,freq_pct
0,Atrial fibrillation with slow ventricular response,53.12,0.3,0.0056,20.0,"Atrial fibrillation with slow ventricular response(lift 53.1,n6) | rSr'(V1) - probable normal variant(lift 7.0,n3) | Inferior T wave changes are nonspecific(lift 5.4,n4)",1.4635609692075973
1,Complete AV block with wide QRS complex,2500.11,0.15,0.0001,20.0,"Complete AV block with wide QRS complex(lift 2500.1,n3) | LVH with IVCD and secondary repol abnrm(lift 211.3,n3) | Anterior Q waves, possibly due to LVH(lift 95.7,n3)",4.724043323104614
2,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.0004999781259569
3,Atrial fibrillation.,18.23,0.2,0.011,20.0,"Atrial fibrillation.(lift 18.2,n4) | IV conduction defect(lift 12.4,n8) | RBBB with left anterior fascicular block(lift 9.5,n5)",5.361515433699776
4,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0006249726574462
5,Pacemaker rhythm - no further analysis,19.68,0.35,0.0178,19.0,"Pacemaker rhythm - no further analysis(lift 19.7,n7) | Ventricular pacing(lift 18.3,n3)",0.0114994968970107
6,All 12 leads are missing,903.99,0.2,0.0002,5.0,"All 12 leads are missing(lift 904.0,n4)",0.091995975176086
7,Anterolateral T wave changes are nonspecific,28.94,0.15,0.0052,20.0,"Anterolateral T wave changes are nonspecific(lift 28.9,n3) | Generalized low QRS voltages(lift 19.6,n3) | Anterior T wave changes are nonspecific(lift 16.6,n7)",3.993200297486985
8,"LAE, consider biatrial enlargement",268.92,0.2,0.0007,20.0,"LAE, consider biatrial enlargement(lift 268.9,n4) | Right axis deviation(lift 19.5,n3) | Sinus tachycardia(lift 19.0,n20)",3.503096739517646
9,Atrial fibrillation,19.47,0.8,0.0411,20.0,"Atrial fibrillation(lift 19.5,n16) | Inferior/lateral ST-T changes may be due to myocardial ischemia(lift 15.7,n4) | Extensive ST-T changes are nonspecific(lift 15.2,n3)",4.701044329310593
10,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
11,Possible atrial flutter,50.87,0.15,0.0029,20.0,"Possible atrial flutter(lift 50.9,n3) | Incomplete RBBB(lift 20.0,n3) | Atrial fibrillation.(lift 18.2,n4)",2.114032511077641
12,Lateral infarct - age undetermined,44.4,0.2,0.0045,20.0,"Lateral infarct - age undetermined(lift 44.4,n4) | Rightward axis(lift 13.6,n3) | LVH with secondary repolarization abnormality(lift 10.9,n4)",3.1542370021311568
13,Sinus bradycardia,10.66,0.8,0.0751,19.0,"Sinus bradycardia(lift 10.7,n16)",6.609960814214378
14,Atrial flutter,147.72,0.25,0.0017,20.0,"Atrial flutter(lift 147.7,n5) | Possible atrial flutter.(lift 144.7,n4) | Possible atrial flutter(lift 67.8,n4)",0.1326191979100914
15,rSr'(V1) - probable normal variant,11.64,0.25,0.0215,16.0,"rSr'(V1) - probable normal variant(lift 11.6,n5) | Inferior infarct - age undetermined(lift 2.9,n3)",2.8691244758041834
16,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
17,Anterior T wave changes are nonspecific,14.26,0.3,0.021,20.0,"Anterior T wave changes are nonspecific(lift 14.3,n6) | Sinus bradycardia.(lift 13.6,n4) | Sinus bradycardia(lift 7.3,n11)",2.583136987756786
18,Sinus tachycardia.,11.53,0.2,0.0173,20.0,"Sinus tachycardia.(lift 11.5,n4) | Anterior T wave changes are nonspecific(lift 9.5,n4) | Possible left atrial abnormality(lift 8.0,n3)",0.0097495734561612
19,All 12 leads are missing,1355.99,0.3,0.0002,6.0,"All 12 leads are missing(lift 1356.0,n6)",0.3107364052822689
20,NO_SPECIFIC_DX,0.0,0.0,0.0,8.0,,5.575506071609367
21,NO_SPECIFIC_DX,0.0,0.0,0.0,8.0,,0.0011249507834032
22,Normal ECG based on available leads,53.31,0.15,0.0028,13.0,"Normal ECG based on available leads(lift 53.3,n3)",2.727880655221334
23,All 12 leads are missing,1129.99,0.25,0.0002,5.0,"All 12 leads are missing(lift 1130.0,n5)",0.0777465985863118
24,LVH with secondary repolarization abnormality,8.17,0.15,0.0184,20.0,"LVH with secondary repolarization abnormality(lift 8.2,n3) | Leftward axis(lift 4.8,n4)",2.7550044685545005
25,NO_SPECIFIC_DX,0.0,0.0,0.0,1.0,,0.0001249945314892
26,Inferior ST-T changes may be due to myocardial ischemia,110.91,0.15,0.0014,20.0,"Inferior ST-T changes may be due to myocardial ischemia(lift 110.9,n3) | Lateral infarct - age undetermined(lift 33.3,n3) | Left bundle branch block(lift 10.3,n6)",1.0947021067828282
27,Normal ECG based on available leads,106.62,0.3,0.0028,20.0,"Normal ECG based on available leads(lift 106.6,n6) | Sinus bradycardia.(lift 10.2,n3) | Inferior T wave changes are nonspecific(lift 5.4,n4)",0.0512477579105914
28,Leftward axis,6.86,0.286,0.0416,14.0,"Leftward axis(lift 6.9,n4) | Left axis deviation(lift 2.3,n3)",0.0017499234408494
29,Leftward axis,4.8,0.2,0.0416,15.0,"Leftward axis(lift 4.8,n4) | Left axis deviation(lift 1.6,n3)",18.04296062047285
30,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
31,NO_RECORDS,0.0,0.0,0.0,,,0.0
32,Prolonged QT interval,4.32,0.2,0.0463,16.0,"Prolonged QT interval(lift 4.3,n4)",4.4954283250107805
33,Anterior T wave changes are nonspecific,7.13,0.15,0.021,16.0,"Anterior T wave changes are nonspecific(lift 7.1,n3) | Poor R wave progression - probable normal variant(lift 5.4,n5) | Leftward axis(lift 3.6,n3)",0.0056247539170161
34,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
35,"ST elev, probable normal early repol pattern",72.67,0.35,0.0048,20.0,"ST elev, probable normal early repol pattern(lift 72.7,n7) | Nonspecific intraventricular conduction delay(lift 41.2,n3) | Sinus bradycardia(lift 13.3,n20)",1.7617979213409414
36,Sinus tachycardia.,8.65,0.15,0.0173,20.0,"Sinus tachycardia.(lift 8.6,n3) | Possible left atrial abnormality(lift 8.0,n3) | Left bundle branch block(lift 5.2,n3)",0.7350928396882637
37,Sinus bradycardia with 1st degree A-V block,24.01,0.15,0.0062,20.0,"Sinus bradycardia with 1st degree A-V block(lift 24.0,n3) | Left bundle branch block(lift 17.2,n10) | IV conduction defect(lift 12.4,n8)",3.8189579205909743
38,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.0004999781259569
39,Extensive T wave changes are nonspecific,40.76,0.15,0.0037,12.0,"Extensive T wave changes are nonspecific(lift 40.8,n3) | Possible inferior infarct - age undetermined(lift 3.9,n3)",7.524170817526733
40,Low QRS voltages in precordial leads,5.96,0.3,0.0503,10.0,"Low QRS voltages in precordial leads(lift 6.0,n3) | Sinus bradycardia(lift 5.3,n4)",0.0012499453148924
41,Demand atrial pacing,81.14,0.2,0.0025,20.0,"Demand atrial pacing(lift 81.1,n4) | Ventricular pacing.(lift 62.3,n3) | Extensive infarct - age undetermined(lift 57.9,n7)",1.8750429668701996
42,Probable supraventricular tachycardia.,414.53,0.2,0.0005,20.0,"Probable supraventricular tachycardia.(lift 414.5,n4) | IV conduction defect(lift 4.7,n3)",1.415438074584237
43,Atrial fibrillation.,16.09,0.176,0.011,17.0,"Atrial fibrillation.(lift 16.1,n3) | Low QRS voltages in precordial leads(lift 3.5,n3)",0.0021249070353172
44,Sinus rhythm with 1st degree A-V block,41.78,0.6,0.0144,20.0,"Sinus rhythm with 1st degree A-V block(lift 41.8,n12) | Leftward axis(lift 4.8,n4) | Poor R wave progression - probable normal variant(lift 3.2,n3)",7.073940515102464
45,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.0003749835944677
46,Possible left atrial abnormality,24.11,0.45,0.0187,20.0,"Possible left atrial abnormality(lift 24.1,n9) | IV conduction defect(lift 10.9,n7) | Left bundle branch block(lift 8.6,n5)",3.1977350990894147
47,Poor R wave progression - probable normal variant,4.32,0.2,0.0463,20.0,"Poor R wave progression - probable normal variant(lift 4.3,n4) | Possible anterior infarct - age undetermined(lift 3.5,n3)",0.0812464454680107
48,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.0003749835944677
49,*** technically unsatisfactory tracing ***,1875.08,0.15,0.0001,3.0,"*** technically unsatisfactory tracing ***(lift 1875.1,n3) | Unclassified ECG(lift 1519.1,n3)",0.1009955814433118
50,Extensive ST-T changes may be due to myocardial ischemia,10.86,0.15,0.0138,17.0,"Extensive ST-T changes may be due to myocardial ischemia(lift 10.9,n3)",0.0033748523502096
51,Generalized low QRS voltages,19.63,0.15,0.0076,20.0,"Generalized low QRS voltages(lift 19.6,n3) | Lateral T wave changes may be due to myocardial ischemia(lift 13.4,n3) | Possible anteroseptal infarct - age undetermined(lift 8.6,n3)",2.360521727174436
