atom_id,fire_pct,summary,description,key_evidence,pearson_r,p_value,n_heldout
457,17.55210709531458,The atom activates on ECGs with findings suggestive of myocardial ischemia or acute infarction with associated ST-T wave abnormalities,"This detector identifies ECGs with explicit mention of myocardial ischemia in the interpretation (phrases like 'ST-T changes may be due to myocardial ischemia') or multiple infarct territories with associated repolarization abnormalities. HIGH activation occurs when reports describe ST-T changes as potentially ischemic rather than nonspecific, normal variants, or due to chronic conditions like isolated conduction blocks. The detector distinguishes active ischemic processes from stable conduction abnormalities or benign variants.","Report mentions 'myocardial ischemia' or ischemic ST-T changes; Multiple infarct territories mentioned (anterior, inferior, lateral); ST-T abnormalities attributed to acute pathology rather than described as 'nonspecific' or 'normal variant'",0.0011195468136042837,0.9962624385276175,20
238,15.505446636709644,The atom activates on ECGs showing relatively normal cardiac electrical function without significant conduction abnormalities or structural disease,"This detector activates on ECGs with preserved normal cardiac electrophysiology, typically resulting in 'Normal ECG' or 'Borderline ECG' classifications. HIGH activation requires absence of bundle branch blocks, absence of ventricular hypertrophy, no significant AV conduction disease (1st degree AV block ≥220ms suppresses activation), and QRS axis between approximately -60° and +75°. The detector is suppressed by major structural/conduction abnormalities including LBBB, RBBB, LVH with secondary repolarization changes, and extensive ST-T abnormalities.",Absence of bundle branch blocks (LBBB/RBBB); Absence of ventricular hypertrophy with secondary repolarization abnormality; No severe 1st degree AV block (PR >220ms in ZERO cases); ECG classification as 'Normal' or 'Borderline' rather than 'Abnormal',0.201086330798049,0.3952614682431159,20
1524,14.850475291705989,"The atom activates on ECGs with absence of significant cardiac pathology, particularly those without left axis deviation, infarct patterns, or major conduction abnormalities.","This detector identifies ECGs that are fundamentally normal or have only minimal abnormalities. HIGH activation occurs when the QRS axis is typically between 0° and 70° (avoiding left axis deviation below -30°), and the report shows 'Normal ECG' or 'Borderline ECG' without mentions of infarction, significant conduction blocks, or acute ST elevation. ZERO activation occurs with left axis deviation (QRS axis < -30°), any mention of infarct (inferior, anterior), acute ST elevation, or significant conduction abnormalities like A-V block or fascicular block.","Absence of left axis deviation (QRS axis typically 0° to 70°); No infarct patterns (inferior, anterior, or acute MI); Report reads 'Normal ECG' or minor findings only, without conduction blocks or ischemic changes",0.3810364318881877,0.0974098304620062,20
784,14.78222827751286,"The atom activates on ECGs with preserved physiologic AV conduction timing (PR interval ≥142ms when measurable) combined with absence of acute ST-T abnormalities, myocardial infarction, artificial pacing, or pathologically short PR intervals.","This detector identifies ECGs showing normal to mildly prolonged AV nodal conduction without significant acute pathology. HIGH activation occurs when PR interval is ≥142ms (ranging 142-240ms in the HIGH group) and the report lacks mentions of ST-T changes, myocardial infarction, pacing, or short PR intervals (<140ms). The detector appears to capture physiologic rather than pathologic conduction patterns, tolerating bundle branch blocks and first-degree AV block but excluding acute ischemic changes and conduction bypass patterns.","PR interval ≥142ms (excludes pathologically short PR <140ms seen in ZERO group); Absence of ST-T abnormalities, myocardial infarction, or acute ischemic changes in report; No artificial pacing or atrial flutter with variable conduction",0.44544840312656675,0.049034046782829646,20
91,14.224627672539327,The atom activates on uncomplicated sinus rhythms with narrow QRS complexes and absence of significant structural heart disease or conduction abnormalities.,"This detector identifies ECGs with normal sinus node function (sinus rhythm, sinus bradycardia, or sinus tachycardia), narrow QRS duration (≤92ms), and absence of bundle branch blocks, ventricular hypertrophy, or acute ischemic changes. HIGH activation occurs when the ECG shows straightforward sinus rhythm without structural complications, while ZERO activation occurs with LBBB, RBBB, ventricular hypertrophy, pacemaker rhythms, acute MI alerts, or atrial flutter. QRS duration appears critical: HIGH cases range 68-92ms, while ZERO cases often exceed 96ms.",Narrow QRS complex ≤92ms; Pure sinus rhythm without bundle branch blocks or ventricular hypertrophy; Absence of acute ST elevation MI alerts or significant conduction disease,0.3996649675888431,0.08083147427377357,20
970,13.978638434568488,The atom activates on ECGs with narrow QRS complexes (≤100ms) and normal AV conduction without significant conduction defects or acute pathology,"This detector identifies ECGs with preserved intraventricular conduction (QRS ≤100ms) and normal AV conduction (PR 130-174ms) in sinus rhythm. HIGH activation occurs when QRS duration is 80-100ms without bundle branch blocks, acute MI, or atrial fibrillation. ZERO activation is triggered by wide QRS (>100ms), bundle branch blocks (LBBB/RBBB), acute ST elevation MI, atrial fibrillation, or extreme PR intervals (<100ms or >200ms).","QRS duration ≤100ms (all HIGH have 80-100ms; ZERO includes 131-154ms); Absence of bundle branch blocks (ZERO contains LBBB, RBBB, IV conduction defect); Normal sinus rhythm with normal PR interval 130-174ms (ZERO includes AFib, short PR 86ms, prolonged PR 209ms)",0.2156468193962761,0.3611827929663116,20
282,13.173548657246243,The atom activates on ECGs with short-to-normal PR intervals (<150ms preferred) combined with absence of significant structural cardiac disease or complex conduction abnormalities.,"This detector identifies ECGs with efficient AV conduction (PR interval typically <150ms, up to ~188ms) in the absence of major cardiac pathology. HIGH activation occurs when PR intervals are short-normal AND reports show normal/borderline findings without infarcts, bundle branch blocks, low QRS voltages, or atrial fibrillation. ZERO activation occurs with prolonged PR intervals (≥218ms) or presence of significant findings like myocardial infarction, low QRS voltages, RBBB, or atrial fibrillation, even if PR is normal.","PR interval <150ms strongly predicts HIGH activation; Absence of myocardial infarction (inferior, anteroseptal, anterolateral) in report; Absence of conduction disease (1st degree AV block, bundle branch blocks) and low QRS voltages",0.2978643809688147,0.2021293784084524,20
805,11.930353047054192,"The atom activates on ECGs with narrow QRS complexes (predominantly <100ms) in the absence of right bundle branch block, regardless of rhythm or axis deviation","This detector identifies ECGs with preserved intraventricular conduction, specifically QRS duration <100ms without right bundle branch block morphology. HIGH activation occurs with QRS 74-92ms and absence of RBBB in the report, even when other abnormalities like infarcts, axis deviations, or arrhythmias are present. ZERO activation correlates with prolonged QRS (≥106ms in 5/8 cases) and/or presence of RBBB (3/8 cases). The detector appears insensitive to rhythm type, axis, or ischemic changes.","QRS duration <100ms (typically 74-92ms in HIGH vs frequently ≥106ms in ZERO); Absence of right bundle branch block (0% in HIGH vs 37.5% in ZERO); Preserved narrow QRS conduction independent of underlying rhythm, axis deviation, or infarct patterns",0.2399433816525992,0.3082264724739148,20
202,11.728236889636078,The atom activates on uncomplicated sinus rhythm ECGs with normal QRS axis and relatively short PR intervals,"This detector identifies ECGs with simple sinus rhythm (including sinus bradycardia) characterized by normal QRS axis (approximately 0° to 70°), PR interval ≤148ms, and absence of significant structural or conduction abnormalities. The ECGs are clinically benign, classified as either normal or borderline with at most nonspecific T-wave changes. Activation is suppressed by axis deviations beyond ±30°, non-sinus rhythms (atrial fibrillation, frequent PVCs), conduction blocks (fascicular blocks), and pathological findings (infarcts, LVH).","Normal QRS axis (0° to 70°) versus axis deviations (-48°, -34°, 84°) in ZERO group; Sinus rhythm exclusively versus atrial fibrillation and frequent PVCs in ZERO group; PR interval ≤148ms and absence of conduction abnormalities versus LAFB and other blocks in ZERO group",0.28499769988965745,0.22324755923938897,20
898,11.630241176948507,"The atom activates on prolonged PR interval (≥168ms), particularly first-degree AV block","This detector identifies ECGs with prolonged atrioventricular conduction. HIGH activation occurs when PR interval is ≥168ms, most commonly ≥200ms (first-degree AV block). All HIGH-activation cases show PR prolongation (168-276ms), with 5 of 8 explicitly reporting '1st degree A-V block' or 'borderline 1st degree A-V block'. ZERO-activation cases predominantly show normal PR intervals (126-166ms), and when prolonged PR is present, it's typically accompanied by confounding factors like pacing or multiple complex pathologies.","PR interval ≥168ms, typically ≥200ms; Presence of '1st degree A-V block' or 'borderline 1st degree A-V block' in report; Absence of pacing or other dominant conduction abnormalities that would obscure isolated AV delay",0.24977231831845476,0.2882168597895301,20
