model,topk,d_sae,expansion,val_ev,val_recon,actual_l0,l0_min,l0_max,l0_p99,theta,converged,ev_history,dead_pct,ultra_rare_pct,effective_atoms,common_atoms,top20_purity,separable_pct,entangled_pct,dead_atom_pct,quality_score,auroc_af,auroc_hf,auroc_mi,auroc_dm,auroc_htn,auroc_sex,auroc_age,prs_af,prs_hf,prs_mi,prs_dm,prs_htn,prs_sex,prs_age,auroc_recon_af,auroc_recon_hf,auroc_recon_mi,auroc_recon_dm,auroc_recon_htn,auroc_recon_sex,auroc_recon_age,faithfulness_af,faithfulness_hf,faithfulness_mi,faithfulness_dm,faithfulness_htn,faithfulness_sex,faithfulness_age,top1_auroc_af,top5_auroc_af,top1_auroc_hf,top5_auroc_hf,top1_auroc_mi,top5_auroc_mi,top1_auroc_dm,top5_auroc_dm,top1_auroc_htn,top5_auroc_htn,top1_auroc_sex,top5_auroc_sex,top1_auroc_age,top5_auroc_age,time_s
M1,16,1536,2,0.8357012443698617,0.1639885045803146,15.75273122351419,3.0,44.0,26.0,2.077526330947876,False,"[0.7465, 0.8064, 0.8242, 0.8321, 0.8368]",33.26822916666667,17.1875,761.0,444.0,0.4205209734072149,0.0,66.73177083333334,33.26822916666667,-33.26822916666667,0.8483766913414001,0.8272361755371094,0.7569974660873413,0.6661807298660278,0.6002184748649597,0.7835460305213928,0.407249391078949,0.983654977812578,0.9753505208100176,0.9666522991644294,0.9411687927610394,0.9373732869890288,0.9112900670948604,0.7932680128148715,0.8482984900474548,0.8269651532173157,0.7567178606987,0.6668210625648499,0.601958692073822,0.7820835113525391,0.4071263074874878,0.9835643068961728,0.9750309726947648,0.9662952554438132,0.94207344389563,0.9400910192706172,0.9095891087087586,0.7930282622390638,0.5980483889579773,0.6679361462593079,0.5434814691543579,0.6327686905860901,0.524276852607727,0.6084706783294678,0.5123007297515869,0.5569939017295837,0.5155915319919586,0.5163765549659729,0.526951938867569,0.5833247900009155,,,33.20968055725098
M2,16,3072,4,0.8386346394296946,0.161060648752312,15.763855949949823,4.0,42.0,26.0,2.096306562423706,False,"[0.7536, 0.811, 0.8273, 0.835, 0.8396]",49.609375,17.447916666666664,1012.0,482.0,0.4182199512479023,0.0,50.390625,49.609375,-49.609375,0.8475124835968018,0.8271239399909973,0.7591123580932617,0.6683993339538574,0.6067495942115784,0.7863183617591858,0.4106417298316955,0.9826529674337988,0.975218189800336,0.9693529227617236,0.94430319884237,0.9475730676789434,0.9145143804361155,0.7998758405492645,0.8472470045089722,0.8268623352050781,0.7576481699943542,0.6685370802879333,0.606578528881073,0.7849496603012085,0.4092339873313904,0.9823451562587466,0.9749097454023056,0.9674832192876373,0.9444978045178832,0.9473059115052156,0.91292253516489,0.797133744133077,0.597592294216156,0.6648364663124084,0.5552797913551331,0.6438923478126526,0.522440493106842,0.6219760179519653,0.5103507936000824,0.5483755469322205,0.5144941806793213,0.5239782333374023,0.5460259914398193,0.6191993951797485,,,49.83592963218689
M3,16,6144,8,0.8397984033873703,0.1598990823705596,15.779230588495883,3.0,37.0,27.0,2.113022327423096,False,"[0.758, 0.8121, 0.8284, 0.8361, 0.8407]",65.02278645833334,15.91796875,1171.0,533.0,0.4253149681937272,0.0,34.97721354166667,65.02278645833334,-65.02278645833334,0.8486011028289795,0.8267232775688171,0.7590651512145996,0.6654614806175232,0.6032578945159912,0.7871602177619934,0.414031445980072,0.9839151729347314,0.974745789881548,0.9692926416645742,0.9401526496686904,0.9421200099043264,0.9154934869383492,0.8064785597968123,0.8478305339813232,0.8265261054039001,0.7580804228782654,0.6661704182624817,0.603062629699707,0.7853745222091675,0.4113947749137878,0.9830217326852758,0.9745133145867916,0.968035187111536,0.9411542247031148,0.9418150609060224,0.913416663680036,0.8013426728857076,0.597707986831665,0.6568195223808289,0.5447064638137817,0.6127992868423462,0.5375915765762329,0.605866551399231,0.5113302767276764,0.5522542595863342,0.5139465034008026,0.5105204582214355,0.5420296788215637,0.5937770009040833,,,85.88522100448608
M4,16,12288,16,0.8404108511390915,0.15928779112521133,15.77085579879546,4.0,56.0,27.0,2.123227834701538,False,"[0.7594, 0.814, 0.8295, 0.8368, 0.8414]",76.10677083333334,13.346354166666666,1296.0,514.0,0.4322829208355032,0.0,23.893229166666664,76.10677083333334,-76.10677083333334,0.8459616303443909,0.8263289332389832,0.7574105262756348,0.6646254658699036,0.6015334129333496,0.7864626049995422,0.40792644023895264,0.9808548221792672,0.9742808392920355,0.9671797587644871,0.9389715422672412,0.9394268522672902,0.9146821401171836,0.7945866306286223,0.8472104072570801,0.826585590839386,0.7581403255462646,0.667982280254364,0.6046383380889893,0.7857151627540588,0.4088630676269531,0.9823027233756119,0.9745834507246898,0.9681116801704189,0.9437139924764822,0.9442758764491128,0.9138128399516492,0.7964110566205974,0.5944561958312988,0.6544265747070312,0.5438345670700073,0.5928888916969299,0.5165000557899475,0.5840031504631042,0.5133418142795563,0.5448939800262451,0.5162692368030548,0.5143228769302368,0.5080693960189819,0.5785500407218933,,,113.64497256278992
M5,32,1536,2,0.8836312394735407,0.11614901735201134,31.489637884318014,11.0,73.0,51.0,1.265607237815857,False,"[0.8025, 0.8554, 0.872, 0.8797, 0.8845]",2.994791666666667,25.911458333333332,1092.0,682.0,0.4013900657662245,0.0,97.00520833333334,2.994791666666667,-2.994791666666667,0.8526945114135742,0.8332675695419312,0.7646844983100891,0.679679811000824,0.6152251362800598,0.80979984998703,0.4437560439109802,0.9886612978242435,0.9824618192007024,0.9764682994877553,0.9602400647529122,0.9608094925149728,0.9418241314259843,0.8643779489894486,0.8523056507110596,0.833119809627533,0.7640953660011292,0.679509162902832,0.6158241629600525,0.8077021241188049,0.44080567359924316,0.9882104311637046,0.9822876032830178,0.9757160035733294,0.9599989760255239,0.9617450045518944,0.9393844065435426,0.858631018724922,0.6054146885871887,0.7372393012046814,0.5496782660484314,0.6749488711357117,0.5706176459789276,0.6428720951080322,0.5158666968345642,0.5655152797698975,0.5162984430789948,0.5410288572311401,0.536171168088913,0.6032062768936157,,,32.46103501319885
M6,32,3072,4,0.8865289100555135,0.1132568185420958,31.47148834826073,12.0,78.0,51.0,1.2766424417495728,False,"[0.813, 0.8607, 0.8755, 0.8828, 0.8874]",9.27734375,36.45833333333333,1667.0,843.0,0.41465289574896275,0.0,90.72265625,9.27734375,-9.27734375,0.8527106642723083,0.8342087864875793,0.7668265104293823,0.6785667538642883,0.6108245849609375,0.8104075789451599,0.4471933841705322,0.9886800263443242,0.9835715584327145,0.9792035542709119,0.9586675565813265,0.95393706284593,0.9425309403963025,0.8710734321593104,0.8524033427238464,0.8336409330368042,0.7657557725906372,0.678435206413269,0.6124252676963806,0.8080102801322937,0.4419289827346802,0.9883237007002807,0.9829020323948842,0.9778362693855674,0.9584817085822535,0.9564368813286691,0.9397428022258244,0.8608190760142667,0.6080517172813416,0.6715583801269531,0.5509446859359741,0.6485776305198669,0.5278060436248779,0.6331074237823486,0.5141607522964478,0.5634695887565613,0.5164369642734528,0.5150614380836487,0.5300416648387909,0.5801935195922852,,,48.090906620025635
M7,32,6144,8,0.8877563485583526,0.11203169785403648,31.340616653384018,11.0,74.0,51.0,1.2873010635375977,False,"[0.817, 0.8628, 0.8772, 0.8844, 0.8888]",18.766276041666664,45.52408854166667,2194.0,901.0,0.42228594019764104,0.0,81.23372395833334,18.766276041666664,-18.766276041666664,0.8517510294914246,0.8346778154373169,0.7675225138664246,0.6786574125289917,0.6143175959587097,0.8125209808349609,0.45079684257507324,0.987567372568316,0.9841245657164016,0.9800923198913845,0.9587956375992649,0.959392168507593,0.9449888970126784,0.8780924914548968,0.8517504930496216,0.8345625996589661,0.7666329741477966,0.6783522367477417,0.6167585849761963,0.8089509010314941,0.4446473717689514,0.9875667505879442,0.9839887208721563,0.9789564169950984,0.958364490451438,0.9632043102437172,0.9408367755840619,0.8661141375018576,0.6018002033233643,0.6848252415657043,0.547334611415863,0.6438071131706238,0.5635056793689728,0.6217066645622253,0.5085719227790833,0.5488401651382446,0.5152386724948883,0.5244958996772766,0.5073035359382629,0.590097188949585,,,82.2037513256073
M8,32,12288,16,0.8883295125139801,0.11145961622382453,31.38714035510814,11.0,80.0,51.0,1.2885386943817139,False,"[0.8193, 0.8641, 0.8781, 0.885, 0.8893]",28.377278645833332,50.944010416666664,2541.0,926.0,0.4191641407908368,0.0,71.62272135416666,28.377278645833332,-28.377278645833332,0.8501051068305969,0.8334827423095703,0.7627916932106018,0.6681353449821472,0.6096134185791016,0.8100748062133789,0.4492948651313782,0.9856589985701363,0.9827155180562255,0.9740512710520505,0.9439302397178142,0.952045559901627,0.9421439146527475,0.875166838497548,0.8519949913024902,0.8340728282928467,0.7644084692001343,0.676970362663269,0.6154376864433289,0.8092657327651978,0.446327805519104,0.9878502354195707,0.9834112572999034,0.9761158225169231,0.9564122022726844,0.9611414363879741,0.9412029353507567,0.869387399687918,0.6064876317977905,0.6922968029975891,0.5496025681495667,0.6718840599060059,0.5560399293899536,0.6252990961074829,0.5252496004104614,0.5687279105186462,0.5148614346981049,0.516089677810669,0.5459574460983276,0.5988060832023621,,,114.01047825813293
M9,64,1536,2,0.9185731502243178,0.0812730886255758,62.87777840200983,28.0,183.0,101.0,0.7622911930084229,False,"[0.8482, 0.8924, 0.9074, 0.9148, 0.9193]",0.0,3.90625,1476.0,895.0,0.39918194445220667,0.0,100.0,0.0,0.0,0.8564633131027222,0.8394660949707031,0.7706276774406433,0.6861881017684937,0.6202164888381958,0.8253963589668274,0.47078919410705566,0.9930310554799581,0.9897701734337381,0.9840574765038821,0.9694348671393117,0.9686045883840123,0.9599633895691051,0.9170349420419082,0.8558138012886047,0.8382131457328796,0.7689629793167114,0.6870076656341553,0.6211189031600952,0.8229390382766724,0.46659332513809204,0.992277975467712,0.9882928871063285,0.9819317305919033,0.9705927330148234,0.9700139070147579,0.9571054439610917,0.9088619454971021,0.6185919046401978,0.7249868512153625,0.5534648299217224,0.6895238161087036,0.5703480243682861,0.6531270146369934,0.519887238740921,0.583999752998352,0.5166266560554504,0.5396552681922913,0.5656416416168213,0.6453328132629395,,,32.366246461868286
M10,64,3072,4,0.9215764773629853,0.07827543277391323,62.69363297665377,29.0,173.0,101.0,0.7562807202339172,False,"[0.8594, 0.8983, 0.9114, 0.9181, 0.9224]",0.0,17.057291666666664,2548.0,1254.0,0.4058623113012387,0.0,100.0,0.0,0.0,0.8562604188919067,0.8391301035881042,0.772210419178009,0.6875777840614319,0.6208478212356567,0.8284303545951843,0.4771474003791809,0.992795808681602,0.9893740237249893,0.9860785677333097,0.9713981866220429,0.9695905529108853,0.9634920272904794,0.9294198850126318,0.8547576069831848,0.83805251121521,0.7698838114738464,0.6871103644371033,0.6211307644844055,0.8247348666191101,0.4689145088195801,0.991053365224801,0.9881034914233272,0.9831075925487998,0.9707378241350784,0.9700324310839467,0.9591940519903889,0.913383303611235,0.6112092137336731,0.7479497790336609,0.5536937117576599,0.7094002366065979,0.580003023147583,0.6761360764503479,0.5189154148101807,0.5989747643470764,0.5162865817546844,0.532916247844696,0.5731948018074036,0.6145220398902893,,,48.28940176963806
