atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,contributes_to
0,Uninformative,0,,11709,1.4635609692075973,
1,Separable,1,TXT:RBBB and LAFB,37794,4.724043323104614,
2,Uninformative,0,,4,0.0004999781259569,
3,Uninformative,0,,42894,5.361515433699776,
4,Uninformative,0,,5,0.0006249726574462,
5,Uninformative,0,,92,0.0114994968970107,
6,Uninformative,0,,736,0.091995975176086,
7,Uninformative,0,,31947,3.993200297486985,
8,Contributing,0,,28026,3.503096739517646,TXT:Junctional rhythm
9,Contributing,0,,37610,4.701044329310593,TXT:Junctional rhythm
10,Uninformative,0,,2,0.0002499890629784,
11,Uninformative,0,,16913,2.114032511077641,
12,Uninformative,0,,25235,3.1542370021311568,
13,Uninformative,0,,52882,6.609960814214378,
14,Uninformative,0,,1061,0.1326191979100914,
15,Uninformative,0,,22954,2.8691244758041834,
16,Uninformative,0,,2,0.0002499890629784,
17,Uninformative,0,,20666,2.583136987756786,
18,Uninformative,0,,78,0.0097495734561612,
19,Uninformative,0,,2486,0.3107364052822689,
20,Uninformative,0,,44606,5.575506071609367,
21,Uninformative,0,,9,0.0011249507834032,
22,Uninformative,0,,21824,2.727880655221334,
23,Uninformative,0,,622,0.0777465985863118,
24,Uninformative,0,,22041,2.7550044685545005,
25,Uninformative,0,,1,0.0001249945314892,
26,Uninformative,0,,8758,1.0947021067828282,
27,Uninformative,0,,410,0.0512477579105914,
28,Uninformative,0,,14,0.0017499234408494,
29,Uninformative,0,,144350,18.04296062047285,
30,Uninformative,0,,2,0.0002499890629784,
31,Dead,0,,0,0.0,
32,Uninformative,0,,35965,4.4954283250107805,
33,Uninformative,0,,45,0.0056247539170161,
34,Uninformative,0,,4,0.0004999781259569,
35,Uninformative,0,,14095,1.7617979213409414,
36,Uninformative,0,,5881,0.7350928396882637,
37,Uninformative,0,,30553,3.8189579205909743,
38,Uninformative,0,,4,0.0004999781259569,
39,Uninformative,0,,60196,7.524170817526733,
40,Uninformative,0,,10,0.0012499453148924,
41,Uninformative,0,,15001,1.8750429668701996,
42,Entangled,3,"TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",11324,1.415438074584237,
43,Uninformative,0,,17,0.0021249070353172,
44,Uninformative,0,,56594,7.073940515102464,
45,Uninformative,0,,3,0.0003749835944677,
46,Uninformative,0,,25583,3.1977350990894147,
47,Uninformative,0,,650,0.0812464454680107,
48,Uninformative,0,,3,0.0003749835944677,
49,Uninformative,0,,808,0.1009955814433118,
50,Uninformative,0,,27,0.0033748523502096,
51,Uninformative,0,,18885,2.360521727174436,
52,Uninformative,0,,16,0.0019999125038279,
53,Uninformative,0,,31362,3.9200784965657753,
54,Uninformative,0,,1766,0.2207403426100108,
55,Uninformative,0,,23525,2.940496353284544,
56,Uninformative,0,,464,0.0579974626110107,
57,Contributing,0,,43924,5.490259801133701,TXT:Atrial pacing; TXT:Tall T waves - consider acute ischemia o
58,Uninformative,0,,90520,11.31450499040667,
59,Uninformative,0,,2150,0.2687382427018818,
60,Uninformative,0,,36103,4.512677570356297,
61,Uninformative,0,,28357,3.544469929440587,
62,Uninformative,0,,4,0.0004999781259569,
63,Uninformative,0,,22,0.0027498796927634,
64,Uninformative,0,,150,0.0187491797233871,
65,Separable,1,TXT:Atrial flutter with uncontrolled ventric,3378,0.4222315273706775,
66,Uninformative,0,,2,0.0002499890629784,
67,Uninformative,0,,39483,4.935159086789953,
68,Uninformative,0,,552,0.0689969813820645,
69,Uninformative,0,,37045,4.630422419019168,
70,Uninformative,0,,122,0.0152493328416881,
71,Uninformative,0,,1975,0.2468641996912635,
72,Uninformative,0,,137,0.0171242508140268,
73,Uninformative,0,,235,0.0293737148999731,
74,Uninformative,0,,32554,4.069071978100958,
75,Uninformative,0,,854,0.1067453298918172,
76,Uninformative,0,,34547,4.318186079359028,
77,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,2016,0.2519889754823226,
78,Uninformative,0,,2,0.0002499890629784,
