concept,n_pos_train,n_pos_test,top1_auroc,top1_atom,multi_auroc,verdict,n_contributing,contributing_atoms
NUM:tachycardia,12889,6431,0.7634708129799413,495.0,0.9970497790982712,captured,10,8;190;274;495;634;683;804;1031;1231;1419
NUM:bradycardia,15290,7565,0.7089491482288024,396.0,0.9965813084838514,captured,10,1;13;35;88;396;535;692;865;1076;1487
NUM:wide_qrs,16246,8104,0.716704210666152,569.0,0.9857086713190619,captured,10,239;569;662;898;956;959;1127;1267;1398;1449
NUM:left_axis,15910,7787,0.7003444841765146,682.0,0.9849981335216778,captured,10,322;434;460;569;573;682;1066;1223;1316;1393
NUM:right_axis,3358,1718,0.8253006360237408,322.0,0.9603248045208208,captured,10,202;322;682;905;1031;1100;1137;1273;1316;1421
TXT:A-V sequential pacemaker,311,162,0.932657117703334,1252.0,0.9651136348435597,captured,10,85;88;106;321;573;724;742;841;1129;1446
"TXT:Abnormal R-wave progression, early trans",803,435,0.8820472826231895,1273.0,0.9731478112451896,captured,10,74;248;443;535;827;1150;1169;1273;1419;1449
TXT:Accelerated idioventricular rhythm,329,166,0.8091688502212889,1477.0,0.9600257191224263,captured,10,241;395;403;416;495;775;841;903;1036;1477
TXT:Anterolateral ST-T changes may be due to,713,336,0.663156231302927,576.0,0.8992731752615672,weak,10,76;268;322;569;697;1077;1158;1273;1517;1524
TXT:Anterolateral infarct - age undetermined,155,90,0.9399048286916449,268.0,0.9753302611367127,captured,10,46;91;100;268;423;427;486;567;728;1252
TXT:Atrial fibrillation with slow ventricula,968,469,0.7927111099555193,1211.0,0.9828406228676586,captured,10,88;103;211;396;476;939;1053;1273;1419;1487
TXT:Atrial flutter,1729,913,0.7611371262472909,757.0,0.917064614092095,captured,10,338;396;540;715;757;899;934;956;1000;1116
TXT:Atrial flutter with 4:1 A-V block,44,27,,,,too_few_positives,0,
TXT:Atrial flutter with rapid ventricular re,674,329,0.8456292862965364,495.0,0.9751012727577244,captured,10,339;429;483;634;757;1233;1273;1419;1445;1524
TXT:Atrial flutter with uncontrolled ventric,63,30,0.9799639783870322,255.0,0.9977539857247681,captured,10,174;193;255;446;563;757;802;830;862;1199
TXT:Atrial pacing,956,490,0.6463057555884403,878.0,0.926904727554524,distributed,10,57;341;633;865;882;1038;1053;1233;1273;1487
TXT:Atrial-sensed ventricular-paced rhythm,70,35,0.8791616989035183,1252.0,0.9904773341338937,captured,10,1;76;384;443;712;767;1078;1252;1456;1518
TXT:Extensive infarct - age undetermined,817,395,0.8387447161691284,268.0,0.9817800114576036,captured,10,91;140;268;443;775;1178;1232;1252;1273;1525
TXT:Incomplete RBBB,762,390,0.9288338269269534,248.0,0.9700001033703918,captured,10,32;239;248;406;650;1209;1223;1265;1449;1463
TXT:Junctional rhythm,531,230,0.6207963589031282,1321.0,0.9100833398852111,distributed,10,8;9;180;202;403;569;757;1053;1233;1478
"TXT:Lateral ST elevation, CONSIDER ACUTE INF",456,198,0.6972367139529102,564.0,0.8996202740630675,weak,10,564;586;724;905;907;956;1266;1273;1358;1524
TXT:Lateral infarct - age undetermined,1050,637,0.696578682429855,1169.0,0.946197189557601,weak,10,110;241;268;322;324;398;443;787;1076;1273
TXT:Marked sinus bradycardia,66,38,0.9851587206276771,356.0,0.9854773838643685,captured,10,347;365;372;463;849;931;976;1155;1198;1246
TXT:Possible extensive infarct - age undeter,172,74,0.8823014818688416,268.0,0.9627906057722186,captured,10,46;91;268;394;775;813;852;1036;1232;1254
TXT:Possible idioventricular rhythm with slo,81,41,0.7707734976827341,85.0,0.9750322093384867,captured,10,85;396;457;1096;1127;1281;1321;1375;1477;1487
TXT:Probable junctional rhythm,60,21,,,,too_few_positives,0,
TXT:Probable sinus tachycardia,226,113,0.9856461443570433,255.0,0.9898052785135114,captured,10,255;471;563;567;604;651;776;897;1032;1227
TXT:Probable supraventricular tachycardia,89,52,0.9981003320376268,255.0,0.9990051191700907,captured,10,95;243;255;446;471;590;757;800;862;889
TXT:RBBB and LAFB,252,128,0.8517102219181104,1273.0,0.9723979324570902,captured,10,268;322;388;443;467;650;1150;1209;1223;1463
"TXT:ST elev, probable normal early repol pat",503,226,0.8879978653958369,1273.0,0.9609115502958328,captured,10,231;237;403;443;582;690;1150;1260;1475;1524
TXT:Severe right axis deviation,268,133,0.9049836474797397,322.0,0.9745381361036898,captured,10,229;314;322;365;562;569;1124;1374;1456;1477
TXT:Sinus rhythm with bigeminal PVCs,128,69,0.9776453825119243,403.0,0.9673436298613826,captured,10,76;126;384;403;564;907;976;994;1005;1055
TXT:Tall T waves - consider acute ischemia o,200,106,0.6406548864725293,740.0,0.877052748052286,distributed,10,57;498;569;623;878;982;1065;1273;1354;1524
TXT:Undetermined rhythm,281,146,0.6578017399848654,569.0,0.8831700895381638,weak,10,79;126;319;404;455;983;1194;1273;1292;1519
TXT:Ventricular pacing,1157,566,0.9364947245218702,1252.0,0.9791435516477623,captured,10,29;165;457;467;551;614;1084;1252;1273;1292
