atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,category_grouped,n_enriched_groups,enriched_groups,entangled_subtype
0,Uninformative,0,,11709,1.4635609692075973,Uninformative,0,,
1,Separable,1,TXT:RBBB and LAFB,37794,4.724043323104614,Separable,1,bbb_block,
2,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
3,Uninformative,0,,42894,5.361515433699776,Uninformative,0,,
4,Uninformative,0,,5,0.0006249726574462,Uninformative,0,,
5,Uninformative,0,,92,0.0114994968970107,Uninformative,0,,
6,Uninformative,0,,736,0.091995975176086,Uninformative,0,,
7,Uninformative,0,,31947,3.993200297486985,Uninformative,0,,
8,Uninformative,0,,28026,3.503096739517646,Uninformative,0,,
9,Uninformative,0,,37610,4.701044329310593,Uninformative,0,,
10,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
11,Uninformative,0,,16913,2.114032511077641,Uninformative,0,,
12,Uninformative,0,,25235,3.1542370021311568,Uninformative,0,,
13,Uninformative,0,,52882,6.609960814214378,Uninformative,0,,
14,Uninformative,0,,1061,0.1326191979100914,Uninformative,0,,
15,Uninformative,0,,22954,2.8691244758041834,Uninformative,0,,
16,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
17,Uninformative,0,,20666,2.583136987756786,Uninformative,0,,
18,Uninformative,0,,78,0.0097495734561612,Uninformative,0,,
19,Uninformative,0,,2486,0.3107364052822689,Uninformative,0,,
20,Uninformative,0,,44606,5.575506071609367,Uninformative,0,,
21,Uninformative,0,,9,0.0011249507834032,Uninformative,0,,
22,Uninformative,0,,21824,2.727880655221334,Uninformative,0,,
23,Uninformative,0,,622,0.0777465985863118,Uninformative,0,,
24,Uninformative,0,,22041,2.7550044685545005,Uninformative,0,,
25,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
26,Uninformative,0,,8758,1.0947021067828282,Uninformative,0,,
27,Uninformative,0,,410,0.0512477579105914,Uninformative,0,,
28,Uninformative,0,,14,0.0017499234408494,Uninformative,0,,
29,Uninformative,0,,144350,18.04296062047285,Uninformative,0,,
30,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
31,Dead,0,,0,0.0,Dead,0,,
32,Uninformative,0,,35965,4.4954283250107805,Uninformative,0,,
33,Uninformative,0,,45,0.0056247539170161,Uninformative,0,,
34,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
35,Uninformative,0,,14095,1.7617979213409414,Uninformative,0,,
36,Uninformative,0,,5881,0.7350928396882637,Uninformative,0,,
37,Uninformative,0,,30553,3.8189579205909743,Uninformative,0,,
38,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
39,Uninformative,0,,60196,7.524170817526733,Uninformative,0,,
40,Uninformative,0,,10,0.0012499453148924,Uninformative,0,,
41,Uninformative,0,,15001,1.8750429668701996,Uninformative,0,,
42,Entangled,3,"TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",11324,1.415438074584237,Entangled,3,TXT_Extreme_tachycardia_with_w; atrial_flutter; tachycardia,Mixed
43,Uninformative,0,,17,0.0021249070353172,Uninformative,0,,
44,Uninformative,0,,56594,7.073940515102464,Uninformative,0,,
45,Uninformative,0,,3,0.0003749835944677,Uninformative,0,,
46,Uninformative,0,,25583,3.1977350990894147,Uninformative,0,,
47,Uninformative,0,,650,0.0812464454680107,Uninformative,0,,
48,Uninformative,0,,3,0.0003749835944677,Uninformative,0,,
49,Uninformative,0,,808,0.1009955814433118,Uninformative,0,,
50,Uninformative,0,,27,0.0033748523502096,Uninformative,0,,
51,Uninformative,0,,18885,2.360521727174436,Uninformative,0,,
52,Uninformative,0,,16,0.0019999125038279,Uninformative,0,,
53,Uninformative,0,,31362,3.9200784965657753,Uninformative,0,,
54,Uninformative,0,,1766,0.2207403426100108,Uninformative,0,,
55,Uninformative,0,,23525,2.940496353284544,Uninformative,0,,
56,Uninformative,0,,464,0.0579974626110107,Uninformative,0,,
57,Uninformative,0,,43924,5.490259801133701,Uninformative,0,,
58,Uninformative,0,,90520,11.31450499040667,Uninformative,0,,
59,Uninformative,0,,2150,0.2687382427018818,Uninformative,0,,
60,Uninformative,0,,36103,4.512677570356297,Uninformative,0,,
61,Uninformative,0,,28357,3.544469929440587,Uninformative,0,,
62,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
